ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
323849277,cian.ru,Коптево,58.0,30.0,3547.0,183.0,191.5,2650,4244,3917,3609,327800.0,207.0,105.0,9915.0,183.0,305.75,2650,4244,3917,3609,1.0,0.0,5.0,9.0,1.0,0.0,6.0,0.0,12.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,4.0,2.0,12.0,15.0,1.0,1.0,12.0,0.0,18.0,4.0,9.0,8.0,2.0,1.0,0.0,1.0,13.0,8.0,7.0,2.0,0.0,1.0,2.0,7.0,8.0,4.0,1.0
5203054433263413248,realty.yandex.ru,Замоскворечье,111.0,29.0,2335.0,2.0,144.0909090909091,1008,15214,1043,9312,543700.0,403.0,102.0,7082.0,2.0,387.31,1008,15214,1043,9312,10.0,6.0,4.0,11.0,1.0,7.0,2.0,0.0,8.0,0.0,3.0,3.0,19.0,1.0,0.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,8.0,8.0,8.0,2.0,1.0,33.0,17.0,29.0,81.0,1.0,14.0,13.0,0.0,40.0,8.0,7.0,4.0,26.0,1.0,1.0,12.0,22.0,3.0,15.0,6.0,0.0,7.0,36.0,51.0,93.0,8.0,4.0
3987628968732491776,realty.yandex.ru,Хорошевский,60.0,14.0,1384.0,25.0,86.33333333333333,2364,34341,936,11067,443000.0,250.0,54.0,6105.0,25.0,341.90909090909093,2364,34341,936,11067,4.0,3.0,7.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,7.0,1.0,0.0,0.0,4.0,13.0,9.0,2.0,1.0,12.0,8.0,23.0,33.0,0.0,3.0,6.0,0.0,29.0,3.0,5.0,3.0,26.0,4.0,1.0,8.0,25.0,3.0,12.0,9.0,0.0,0.0,10.0,34.0,26.0,5.0,2.0
2361989379566304768,realty.yandex.ru,Преображенское,63.0,17.0,1429.0,67.0,187.0,1898,10285,1724,8402,331700.0,271.0,58.0,5908.0,67.0,368.9428571428571,1898,10285,1724,8402,4.0,3.0,5.0,26.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,8.0,3.0,3.0,0.0,0.0,1.0,9.0,8.0,18.0,4.0,3.0,16.0,6.0,19.0,43.0,0.0,7.0,5.0,0.0,17.0,5.0,5.0,3.0,3.0,0.0,0.0,5.0,19.0,4.0,10.0,7.0,1.0,3.0,14.0,19.0,31.0,9.0,5.0
322382320,cian.ru,Замоскворечье,67.0,9.0,580.0,6.0,193.25806451612905,1686,103916,2540,23230,543700.0,227.0,47.0,2631.0,6.0,345.9230769230769,1686,103916,2540,23230,8.0,8.0,15.0,34.0,0.0,3.0,4.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,2.0,11.0,13.0,1.0,8.0,6.0,0.0,1.0,19.0,20.0,38.0,0.0,2.0,23.0,11.0,32.0,62.0,1.0,4.0,9.0,0.0,26.0,6.0,1.0,1.0,4.0,0.0,2.0,18.0,15.0,3.0,13.0,11.0,0.0,6.0,24.0,46.0,92.0,0.0,6.0
6018070640094234624,realty.yandex.ru,Пресненский,136.0,55.0,1306.0,90.0,189.28571428571428,2758,13131,632,2429,621300.0,517.0,194.0,5970.0,90.0,395.0625,2758,13131,632,2429,4.0,5.0,7.0,36.0,0.0,2.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,1.0,8.0,6.0,0.0,1.0,4.0,16.0,35.0,1.0,1.0,68.0,21.0,34.0,130.0,1.0,11.0,16.0,0.0,25.0,14.0,9.0,5.0,7.0,0.0,0.0,15.0,12.0,5.0,21.0,11.0,0.0,5.0,20.0,62.0,193.0,7.0,2.0
306948989166372480,realty.yandex.ru,Арбат,116.0,50.0,1306.0,0.0,181.70833333333331,1246,36726,2167,17393,820400.0,421.0,185.0,6615.0,0.0,375.5487804878049,1246,36726,2167,17393,15.0,5.0,8.0,33.0,0.0,8.0,3.0,0.0,14.0,0.0,2.0,0.0,3.0,0.0,2.0,5.0,4.0,1.0,10.0,3.0,0.0,1.0,6.0,18.0,39.0,3.0,5.0,49.0,17.0,29.0,163.0,3.0,16.0,13.0,0.0,29.0,14.0,6.0,3.0,7.0,0.0,3.0,12.0,18.0,3.0,23.0,18.0,2.0,4.0,21.0,52.0,129.0,9.0,7.0
7524853333,avito.ru,Пресненский,112.0,43.0,1723.0,79.0,168.44444444444446,1200,11879,602,7501,621300.0,282.0,95.0,5712.0,79.0,386.1111111111111,1200,11879,602,7501,4.0,3.0,3.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,27.0,13.0,24.0,52.0,0.0,9.0,9.0,0.0,27.0,7.0,8.0,4.0,3.0,0.0,0.0,9.0,18.0,4.0,11.0,11.0,1.0,3.0,14.0,36.0,49.0,2.0,4.0
8660284132699999232,realty.yandex.ru,Тверской,84.0,23.0,1996.0,74.0,181.20833333333331,1404,12892,1123,13288,609300.0,360.0,128.0,7270.0,74.0,377.4861111111111,1404,12892,1123,13288,16.0,10.0,10.0,38.0,0.0,8.0,3.0,0.0,8.0,2.0,1.0,6.0,1.0,0.0,0.0,4.0,4.0,1.0,5.0,5.0,1.0,4.0,6.0,17.0,13.0,1.0,0.0,57.0,30.0,33.0,161.0,2.0,21.0,13.0,0.0,25.0,14.0,5.0,10.0,30.0,1.0,1.0,22.0,20.0,6.0,24.0,19.0,1.0,5.0,34.0,62.0,99.0,4.0,3.0
7567867778444369920,realty.yandex.ru,Тверской,148.0,36.0,1284.0,34.0,193.5,2172,30282,672,14458,609300.0,525.0,195.0,6143.0,34.0,390.42105263157896,2172,30282,672,14458,12.0,4.0,13.0,42.0,0.0,5.0,7.0,0.0,14.0,5.0,5.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,4.0,2.0,0.0,1.0,6.0,20.0,52.0,3.0,0.0,55.0,29.0,34.0,144.0,0.0,15.0,19.0,0.0,30.0,15.0,10.0,4.0,6.0,0.0,0.0,19.0,11.0,5.0,20.0,14.0,0.0,5.0,21.0,68.0,200.0,7.0,3.0
