ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
2361982363910666240,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324514270,cian.ru,Ломоносовский,40.0,26.0,3121.0,0.0,167.33333333333334,904,14954,1522,16449,418300.0,188.0,93.0,10640.0,0.0,358.54545454545456,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323292280,cian.ru,Ломоносовский,40.0,26.0,3121.0,0.0,167.33333333333334,904,14954,1522,16449,418300.0,188.0,93.0,10640.0,0.0,358.54545454545456,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319684273,cian.ru,Бибирево,32.0,15.0,3884.0,,,2052,2578,3431,2210,271300.0,124.0,58.0,13906.0,478.0,536.75,2052,2578,3431,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051474308312615936,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8660284132700797952,realty.yandex.ru,Солнцево,23.0,1.0,79.0,,,4,6401,4425,5668,284300.0,87.0,28.0,5740.0,,,4,6401,4425,5668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962878261589281792,realty.yandex.ru,Ломоносовский,39.0,25.0,2908.0,21.0,205.5,904,14954,1522,16449,418300.0,184.0,92.0,10458.0,21.0,360.1818181818182,904,14954,1522,16449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319583252,cian.ru,Коньково,33.0,5.0,932.0,29.0,124.0,110,4513,987,2905,351300.0,139.0,29.0,4867.0,29.0,300.875,110,4513,987,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965285094499829760,realty.yandex.ru,Коммунарка,3.0,,,0.0,158.66666666666666,0,1225,0,551,291400.0,4.0,,,0.0,158.66666666666666,0,1225,0,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321147856,cian.ru,Тропарево-Никулино,10.0,4.0,506.0,,,2,90,50,45,399700.0,50.0,17.0,3013.0,,,2,90,50,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967137546321484800,realty.yandex.ru,Печатники,17.0,9.0,1777.0,0.0,0.0,322,2770,1410,1651,286900.0,80.0,43.0,8843.0,0.0,404.1666666666667,322,2770,1410,1651,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,2.0,7.0,0.0,25.0,7.0,4.0,6.0,0.0,0.0,1.0,1.0,23.0,4.0,3.0,6.0,0.0,0.0,3.0,8.0,5.0,4.0,0.0
320724231,cian.ru,Лефортово,83.0,,,0.0,185.75,4,15885,1184,1724,279300.0,322.0,21.0,1660.0,0.0,366.14814814814815,4,15885,1184,1724,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,1.0,4.0,1.0,0.0,4.0,3.0,0.0,17.0,4.0,6.0,1.0,2.0,0.0,1.0,4.0,6.0,6.0,3.0,3.0,0.0,0.0,9.0,6.0,9.0,0.0,0.0
324672213,cian.ru,Бирюлево Восточное,34.0,11.0,4620.0,,,2510,1910,3910,3508,263200.0,147.0,49.0,13866.0,314.0,417.0,2510,1910,3910,3508,2.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,5.0,3.0,15.0,24.0,0.0,2.0,13.0,0.0,21.0,15.0,5.0,10.0,0.0,0.0,1.0,2.0,34.0,6.0,5.0,5.0,0.0,1.0,3.0,10.0,8.0,8.0,1.0
325098938,cian.ru,Отрадное,43.0,,,0.0,155.14285714285714,0,6035,43,3201,300400.0,179.0,13.0,5271.0,0.0,358.72727272727275,0,6035,43,3201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,3.0,6.0,1.0,0.0,4.0,0.0,17.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0,1.0,0.0
320852207,cian.ru,Нагатино-Садовники,21.0,5.0,661.0,0.0,150.0,0,57840,1570,6460,353800.0,136.0,45.0,4576.0,0.0,394.5882352941176,0,57840,1570,6460,5.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,4.0,3.0,11.0,1.0,0.0,14.0,4.0,10.0,13.0,2.0,1.0,5.0,2.0,20.0,11.0,4.0,4.0,2.0,0.0,4.0,0.0,20.0,7.0,5.0,3.0,1.0,0.0,6.0,10.0,24.0,6.0,1.0
324638636,cian.ru,Измайлово,18.0,1.0,56.0,0.0,0.0,20,25321,11,18991,278800.0,124.0,7.0,1408.0,0.0,369.4,20,25321,11,18991,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,12.0,0.0,3.0,8.0,0.0,1.0,3.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,9.0,5.0,15.0,0.0,0.0
320807151,cian.ru,Филимонковский,45.0,40.0,1142.0,,,1752,1199,1689,2928,,71.0,50.0,1342.0,,,1752,1199,1689,2928,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,1.0,3.0,0.0,17.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0
320348390,cian.ru,Коммунарка,27.0,14.0,539.0,,,412,51,930,127,291400.0,57.0,31.0,3958.0,387.0,425.5,412,51,930,127,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
324808331,cian.ru,Ломоносовский,40.0,26.0,3121.0,0.0,167.33333333333334,904,14954,1522,16449,418300.0,188.0,93.0,10640.0,0.0,358.54545454545456,904,14954,1522,16449,10.0,3.0,2.0,17.0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,18.0,6.0,11.0,29.0,0.0,5.0,6.0,0.0,42.0,4.0,9.0,8.0,1.0,0.0,1.0,3.0,15.0,3.0,5.0,4.0,0.0,1.0,8.0,13.0,26.0,6.0,0.0
324157595,cian.ru,Коньково,28.0,10.0,992.0,51.0,123.5,864,5244,1889,3467,351300.0,97.0,34.0,4816.0,51.0,374.5,864,5244,1889,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,10.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,1.0,0.0
323960704,cian.ru,Дорогомилово,59.0,,,199.0,199.0,0,1292,0,693,530200.0,154.0,8.0,480.0,199.0,462.0,0,1292,0,693,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,2.0,6.0,2.0,0.0,3.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,10.0,11.0,2.0,1.0
324416202,cian.ru,Царицыно,27.0,18.0,2964.0,102.0,115.5,11204,17210,3943,3444,302800.0,115.0,63.0,10653.0,102.0,364.875,11204,17210,3943,3444,4.0,1.0,10.0,13.0,0.0,0.0,5.0,0.0,27.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,2.0,7.0,3.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,7.0,5.0,20.0,20.0,0.0,4.0,11.0,0.0,45.0,5.0,5.0,7.0,0.0,0.0,2.0,1.0,35.0,3.0,10.0,8.0,0.0,1.0,3.0,12.0,26.0,4.0,1.0
321706574,cian.ru,Басманный,98.0,37.0,1537.0,130.0,237.1428571428572,4942,36631,2424,16400,461200.0,458.0,151.0,5378.0,130.0,437.6808510638298,4942,36631,2424,16400,13.0,4.0,9.0,37.0,0.0,1.0,4.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,7.0,5.0,0.0,0.0,12.0,27.0,38.0,2.0,0.0,39.0,18.0,24.0,151.0,1.0,7.0,18.0,0.0,28.0,12.0,4.0,5.0,22.0,2.0,1.0,10.0,24.0,2.0,19.0,8.0,0.0,4.0,34.0,67.0,115.0,7.0,1.0
319819937,cian.ru,Мещанский,147.0,57.0,1383.0,24.0,172.3421052631579,2106,37133,3983,30675,530600.0,587.0,246.0,6139.0,24.0,356.27027027027026,2106,37133,3983,30675,12.0,4.0,6.0,37.0,0.0,0.0,3.0,0.0,12.0,2.0,1.0,0.0,10.0,0.0,1.0,8.0,5.0,0.0,6.0,4.0,0.0,2.0,2.0,18.0,35.0,4.0,2.0,99.0,31.0,19.0,148.0,1.0,8.0,9.0,0.0,21.0,15.0,7.0,4.0,15.0,0.0,1.0,19.0,11.0,1.0,15.0,13.0,0.0,6.0,16.0,36.0,109.0,14.0,4.0
4149451670449436160,realty.yandex.ru,Аэропорт,57.0,19.0,2077.0,146.0,237.9090909090909,9392,38428,2685,21520,400700.0,247.0,91.0,8728.0,146.0,329.1904761904762,9392,38428,2685,21520,7.0,4.0,16.0,19.0,0.0,1.0,3.0,0.0,26.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,14.0,3.0,8.0,2.0,0.0,0.0,7.0,21.0,15.0,1.0,1.0,15.0,13.0,27.0,41.0,0.0,3.0,10.0,0.0,32.0,4.0,8.0,5.0,25.0,4.0,1.0,7.0,27.0,4.0,13.0,9.0,0.0,0.0,10.0,34.0,31.0,5.0,2.0
321202457,cian.ru,Тропарево-Никулино,17.0,5.0,283.0,123.0,195.25,4880,40913,1123,9148,399700.0,86.0,24.0,5055.0,123.0,346.1111111111111,4880,40913,1123,9148,1.0,0.0,6.0,3.0,0.0,1.0,4.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,4.0,2.0,1.0,0.0,3.0,8.0,21.0,1.0,0.0,17.0,6.0,19.0,31.0,0.0,4.0,7.0,0.0,49.0,6.0,3.0,2.0,28.0,0.0,5.0,0.0,24.0,4.0,12.0,8.0,1.0,1.0,17.0,33.0,78.0,2.0,1.0
322985978,cian.ru,Тушино Северное,32.0,14.0,2950.0,142.0,162.5,17662,19427,5549,12925,310000.0,160.0,65.0,11416.0,142.0,291.0,17662,19427,5549,12925,3.0,1.0,15.0,8.0,0.0,0.0,5.0,0.0,34.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,11.0,1.0,4.0,3.0,0.0,0.0,4.0,11.0,19.0,2.0,1.0,12.0,5.0,21.0,24.0,1.0,0.0,11.0,0.0,45.0,10.0,6.0,7.0,0.0,0.0,1.0,0.0,23.0,1.0,4.0,5.0,0.0,1.0,5.0,17.0,19.0,8.0,1.0
3673425695884256768,realty.yandex.ru,Аэропорт,57.0,19.0,2077.0,146.0,237.9090909090909,9392,38428,2685,21520,400700.0,247.0,91.0,8728.0,146.0,329.1904761904762,9392,38428,2685,21520,7.0,4.0,16.0,19.0,0.0,1.0,3.0,0.0,26.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,14.0,3.0,8.0,2.0,0.0,0.0,7.0,21.0,15.0,1.0,1.0,15.0,13.0,27.0,41.0,0.0,3.0,10.0,0.0,32.0,4.0,8.0,5.0,25.0,4.0,1.0,7.0,27.0,4.0,13.0,9.0,0.0,0.0,10.0,34.0,31.0,5.0,2.0
323644302,cian.ru,Басманный,98.0,37.0,1537.0,130.0,237.1428571428572,4942,36631,2424,16400,461200.0,458.0,151.0,5378.0,130.0,437.6808510638298,4942,36631,2424,16400,13.0,4.0,9.0,37.0,0.0,1.0,4.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,7.0,5.0,0.0,0.0,12.0,27.0,38.0,2.0,0.0,39.0,18.0,24.0,151.0,1.0,7.0,18.0,0.0,28.0,12.0,4.0,5.0,22.0,2.0,1.0,10.0,24.0,2.0,19.0,8.0,0.0,4.0,34.0,67.0,115.0,7.0,1.0
323352593,cian.ru,Пресненский,21.0,8.0,1773.0,0.0,204.8,4670,318598,5210,103583,621300.0,71.0,29.0,3682.0,0.0,303.48148148148147,4670,318598,5210,103583,18.0,5.0,38.0,63.0,0.0,13.0,8.0,0.0,30.0,17.0,0.0,0.0,1.0,0.0,2.0,12.0,15.0,6.0,27.0,12.0,2.0,0.0,35.0,61.0,116.0,1.0,8.0,42.0,7.0,53.0,79.0,0.0,15.0,13.0,0.0,46.0,20.0,0.0,2.0,1.0,0.0,5.0,16.0,17.0,7.0,32.0,16.0,2.0,1.0,50.0,93.0,152.0,1.0,13.0
323352525,cian.ru,Басманный,98.0,37.0,1537.0,130.0,237.1428571428572,4942,36631,2424,16400,461200.0,458.0,151.0,5378.0,130.0,437.6808510638298,4942,36631,2424,16400,13.0,4.0,9.0,37.0,0.0,1.0,4.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,7.0,5.0,0.0,0.0,12.0,27.0,38.0,2.0,0.0,39.0,18.0,24.0,151.0,1.0,7.0,18.0,0.0,28.0,12.0,4.0,5.0,22.0,2.0,1.0,10.0,24.0,2.0,19.0,8.0,0.0,4.0,34.0,67.0,115.0,7.0,1.0
322381828,cian.ru,Тушино Северное,32.0,14.0,2950.0,142.0,162.5,17662,19427,5549,12925,310000.0,160.0,65.0,11416.0,142.0,291.0,17662,19427,5549,12925,3.0,1.0,15.0,8.0,0.0,0.0,5.0,0.0,34.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,11.0,1.0,4.0,3.0,0.0,0.0,4.0,11.0,19.0,2.0,1.0,12.0,5.0,21.0,24.0,1.0,0.0,11.0,0.0,45.0,10.0,6.0,7.0,0.0,0.0,1.0,0.0,23.0,1.0,4.0,5.0,0.0,1.0,5.0,17.0,19.0,8.0,1.0
320564478,cian.ru,Царицыно,27.0,18.0,2964.0,102.0,115.5,11204,17210,3943,3444,302800.0,115.0,63.0,10653.0,102.0,364.875,11204,17210,3943,3444,4.0,1.0,10.0,13.0,0.0,0.0,5.0,0.0,27.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,2.0,7.0,3.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,7.0,5.0,20.0,20.0,0.0,4.0,11.0,0.0,45.0,5.0,5.0,7.0,0.0,0.0,2.0,1.0,35.0,3.0,10.0,8.0,0.0,1.0,3.0,12.0,26.0,4.0,1.0
318796049,cian.ru,Даниловский,59.0,2.0,1201.0,0.0,160.0,9872,69721,699,19225,399100.0,242.0,31.0,4753.0,0.0,327.26666666666665,9872,69721,699,19225,6.0,4.0,12.0,27.0,0.0,6.0,3.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,13.0,2.0,6.0,11.0,0.0,2.0,7.0,12.0,30.0,2.0,3.0,12.0,9.0,18.0,63.0,1.0,9.0,7.0,0.0,75.0,7.0,4.0,4.0,3.0,0.0,2.0,10.0,19.0,3.0,13.0,12.0,0.0,13.0,15.0,31.0,60.0,3.0,3.0
4049622556,avito.ru,Кунцево,44.0,24.0,4251.0,113.0,161.4,26768,48209,9001,8196,351900.0,116.0,66.0,13097.0,113.0,300.77777777777777,26768,48209,9001,8196,4.0,0.0,15.0,16.0,0.0,0.0,7.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,6.0,3.0,0.0,0.0,6.0,16.0,30.0,2.0,3.0,18.0,5.0,28.0,42.0,0.0,3.0,11.0,2.0,44.0,16.0,5.0,8.0,5.0,0.0,3.0,2.0,19.0,5.0,9.0,8.0,4.0,0.0,17.0,31.0,68.0,10.0,4.0
322585948,cian.ru,Царицыно,27.0,18.0,2964.0,102.0,115.5,11204,17210,3943,3444,302800.0,115.0,63.0,10653.0,102.0,364.875,11204,17210,3943,3444,4.0,1.0,10.0,13.0,0.0,0.0,5.0,0.0,27.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,2.0,7.0,3.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,7.0,5.0,20.0,20.0,0.0,4.0,11.0,0.0,45.0,5.0,5.0,7.0,0.0,0.0,2.0,1.0,35.0,3.0,10.0,8.0,0.0,1.0,3.0,12.0,26.0,4.0,1.0
321755961,cian.ru,Фили-Давыдково,12.0,6.0,3465.0,0.0,117.5,17848,63752,6361,29055,401300.0,73.0,36.0,9634.0,0.0,332.0,17848,63752,6361,29055,1.0,0.0,12.0,8.0,0.0,0.0,2.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,2.0,5.0,5.0,3.0,0.0,3.0,12.0,12.0,0.0,1.0,9.0,1.0,15.0,26.0,1.0,1.0,6.0,0.0,20.0,7.0,4.0,6.0,0.0,0.0,3.0,1.0,14.0,6.0,8.0,8.0,3.0,0.0,6.0,14.0,21.0,2.0,1.0
324220003,cian.ru,Басманный,103.0,38.0,1521.0,145.0,239.5,4942,36631,2424,14438,461200.0,458.0,160.0,5343.0,145.0,432.6629213483146,4942,36631,2424,14438,13.0,4.0,9.0,39.0,0.0,1.0,5.0,0.0,11.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,5.0,2.0,7.0,3.0,0.0,0.0,13.0,21.0,38.0,2.0,0.0,40.0,17.0,19.0,157.0,1.0,7.0,17.0,0.0,29.0,11.0,4.0,3.0,22.0,2.0,1.0,10.0,24.0,2.0,18.0,8.0,0.0,3.0,35.0,65.0,113.0,7.0,1.0
8427502013113796608,realty.yandex.ru,Якиманка,178.0,28.0,1472.0,0.0,200.65853658536585,896,8386,670,5304,680600.0,600.0,124.0,4715.0,0.0,369.1666666666667,896,8386,670,5304,6.0,2.0,3.0,24.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,10.0,3.0,2.0,2.0,0.0,5.0,4.0,4.0,12.0,1.0,2.0,65.0,17.0,12.0,89.0,0.0,11.0,8.0,0.0,11.0,8.0,5.0,8.0,9.0,0.0,1.0,10.0,24.0,4.0,8.0,6.0,0.0,12.0,7.0,32.0,70.0,9.0,4.0
3941543084032598016,realty.yandex.ru,Таганский,66.0,18.0,1666.0,73.0,194.38888888888889,1808,21131,2432,10691,433700.0,332.0,69.0,4084.0,73.0,366.4347826086956,1808,21131,2432,10691,19.0,2.0,9.0,32.0,1.0,2.0,4.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,7.0,0.0,2.0,11.0,0.0,2.0,2.0,11.0,21.0,0.0,2.0,46.0,5.0,22.0,92.0,2.0,8.0,7.0,0.0,19.0,11.0,5.0,6.0,9.0,0.0,2.0,14.0,14.0,2.0,11.0,18.0,1.0,4.0,28.0,46.0,73.0,2.0,5.0
323127962,cian.ru,Басманный,103.0,38.0,1521.0,145.0,239.5,4942,36631,2424,14438,461200.0,458.0,160.0,5343.0,145.0,432.6629213483146,4942,36631,2424,14438,13.0,4.0,9.0,39.0,0.0,1.0,5.0,0.0,11.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,5.0,2.0,7.0,3.0,0.0,0.0,13.0,21.0,38.0,2.0,0.0,40.0,17.0,19.0,157.0,1.0,7.0,17.0,0.0,29.0,11.0,4.0,3.0,22.0,2.0,1.0,10.0,24.0,2.0,18.0,8.0,0.0,3.0,35.0,65.0,113.0,7.0,1.0
311785530,cian.ru,Басманный,98.0,37.0,1537.0,130.0,237.1428571428572,4942,36631,2424,16400,461200.0,458.0,151.0,5378.0,130.0,437.6808510638298,4942,36631,2424,16400,13.0,4.0,9.0,37.0,0.0,1.0,4.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,7.0,5.0,0.0,0.0,12.0,27.0,38.0,2.0,0.0,39.0,18.0,24.0,151.0,1.0,7.0,18.0,0.0,28.0,12.0,4.0,5.0,22.0,2.0,1.0,10.0,24.0,2.0,19.0,8.0,0.0,4.0,34.0,67.0,115.0,7.0,1.0
3965285094499586048,realty.yandex.ru,Тверской,112.0,34.0,1872.0,0.0,198.3636363636364,1078,21597,1557,20620,609300.0,341.0,96.0,6276.0,0.0,388.3934426229508,1078,21597,1557,20620,10.0,6.0,9.0,27.0,0.0,3.0,3.0,0.0,33.0,3.0,1.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,6.0,1.0,2.0,0.0,14.0,15.0,72.0,1.0,1.0,33.0,12.0,30.0,97.0,0.0,5.0,13.0,0.0,46.0,12.0,2.0,4.0,29.0,3.0,0.0,18.0,24.0,3.0,14.0,11.0,2.0,2.0,29.0,48.0,134.0,6.0,5.0
321841061,cian.ru,Хамовники,105.0,22.0,374.0,4.0,161.9375,1622,26083,108,2529,846800.0,282.0,35.0,1128.0,4.0,335.1515151515151,1622,26083,108,2529,6.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,0.0,0.0,12.0,3.0,2.0,14.0,0.0,4.0,2.0,0.0,7.0,3.0,2.0,0.0,4.0,0.0,0.0,8.0,6.0,0.0,5.0,1.0,0.0,11.0,7.0,20.0,24.0,1.0,1.0
320947264,cian.ru,Тверской,112.0,34.0,1872.0,0.0,198.3636363636364,1078,21597,1557,20620,609300.0,341.0,96.0,6276.0,0.0,388.344262295082,1078,21597,1557,20620,10.0,6.0,9.0,27.0,0.0,3.0,3.0,0.0,33.0,3.0,1.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,6.0,1.0,2.0,0.0,14.0,15.0,72.0,1.0,1.0,33.0,12.0,30.0,97.0,0.0,5.0,13.0,0.0,46.0,12.0,2.0,4.0,29.0,3.0,0.0,18.0,24.0,3.0,14.0,11.0,2.0,2.0,29.0,48.0,134.0,6.0,5.0
3940753168374284800,realty.yandex.ru,Тверской,112.0,34.0,1872.0,0.0,198.3636363636364,1078,21597,1557,20620,609300.0,341.0,96.0,6276.0,0.0,388.3934426229508,1078,21597,1557,20620,10.0,6.0,9.0,27.0,0.0,3.0,3.0,0.0,33.0,3.0,1.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,6.0,1.0,2.0,0.0,14.0,15.0,72.0,1.0,1.0,33.0,12.0,30.0,97.0,0.0,5.0,13.0,0.0,46.0,12.0,2.0,4.0,29.0,3.0,0.0,18.0,24.0,3.0,14.0,11.0,2.0,2.0,29.0,48.0,134.0,6.0,5.0
325129770,cian.ru,Ростокино,47.0,15.0,1076.0,56.0,171.0,1760,3504,867,1286,335200.0,199.0,34.0,3196.0,56.0,383.3636363636364,1760,3504,867,1286,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,2.0,2.0,4.0,0.0,2.0,3.0,0.0,6.0,0.0,5.0,2.0,15.0,0.0,0.0,3.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0,6.0,6.0,2.0,0.0
320515440,cian.ru,Басманный,192.0,49.0,1117.0,56.0,202.22222222222223,786,7543,704,5957,461200.0,712.0,176.0,4568.0,56.0,415.4453125,786,7543,704,5957,19.0,5.0,12.0,40.0,0.0,3.0,3.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,10.0,57.0,1.0,0.0,73.0,29.0,30.0,192.0,0.0,22.0,13.0,0.0,17.0,17.0,4.0,6.0,16.0,1.0,0.0,10.0,12.0,2.0,16.0,15.0,0.0,25.0,22.0,45.0,250.0,6.0,1.0
