ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
322876543,cian.ru,Донской,54.0,11.0,850.0,5.0,194.66666666666663,508.0,26519.0,1180.0,12482.0,2.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,2.0,1.0,0.0,0.0,6.0,12.0,12.0,3.0,0.0,391900.0,155.0,26.0,2808.0,5.0,384.97297297297297,508,26519,1180,12482,10.0,7.0,6.0,24.0,0.0,5.0,3.0,0.0,6.0,4.0,3.0,1.0,11.0,1.0,0.0,11.0,8.0,0.0,6.0,3.0,0.0,4.0,11.0,20.0,24.0,3.0,0.0
319371347,cian.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,50.0,5284.0,180.0,446.69444444444446,2652,24378,2315,3670,17.0,12.0,23.0,49.0,2.0,1.0,13.0,1.0,30.0,10.0,8.0,2.0,3.0,0.0,3.0,4.0,27.0,4.0,10.0,7.0,0.0,2.0,20.0,39.0,65.0,12.0,3.0
320936784,cian.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,11.0,1615.0,4.0,323.8888888888889,274,20900,911,6926,1.0,0.0,10.0,7.0,0.0,2.0,3.0,2.0,92.0,11.0,3.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0,5.0,3.0,7.0,0.0,8.0,21.0,35.0,2.0,1.0
320807737,cian.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,62.0,5360.0,220.0,440.7647058823529,786,5008,2861,664,3.0,3.0,6.0,18.0,2.0,2.0,4.0,1.0,16.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,13.0,2.0,1.0,5.0,5.0,0.0,4.0,9.0,26.0,5.0,1.0
4777675775648531456,realty.yandex.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,40.0,8992.0,0.0,333.8,220,4085,503,5548,13.0,3.0,13.0,26.0,0.0,3.0,5.0,0.0,20.0,4.0,6.0,6.0,1.0,0.0,1.0,2.0,18.0,7.0,3.0,4.0,0.0,1.0,4.0,5.0,4.0,6.0,0.0
322178735,cian.ru,Пресненский,108.0,41.0,1706.0,0.0,184.1,282.0,904.0,387.0,1769.0,4.0,3.0,3.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,3.0,3.0,7.0,2.0,0.0,1.0,621300.0,278.0,97.0,5839.0,0.0,381.0,282,904,387,1769,27.0,10.0,24.0,42.0,1.0,6.0,10.0,0.0,22.0,7.0,9.0,4.0,2.0,0.0,0.0,8.0,15.0,4.0,10.0,12.0,1.0,3.0,15.0,42.0,48.0,3.0,4.0
3965285094500724224,realty.yandex.ru,Пресненский,55.0,37.0,2427.0,57.0,142.0,1376.0,8722.0,967.0,3214.0,7.0,4.0,5.0,23.0,0.0,3.0,3.0,0.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,6.0,0.0,1.0,4.0,14.0,13.0,8.0,0.0,621300.0,192.0,85.0,6968.0,57.0,403.6363636363636,1376,8722,967,3214,23.0,9.0,13.0,58.0,1.0,10.0,10.0,0.0,28.0,12.0,3.0,2.0,2.0,0.0,0.0,1.0,18.0,7.0,15.0,16.0,0.0,1.0,12.0,49.0,55.0,10.0,3.0
322452239,cian.ru,Текстильщики,40.0,13.0,2079.0,61.0,162.75,690.0,2059.0,563.0,1457.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,288100.0,147.0,49.0,7389.0,61.0,383.0769230769231,690,2059,563,1457,6.0,1.0,9.0,9.0,2.0,1.0,10.0,0.0,25.0,6.0,1.0,3.0,2.0,1.0,0.0,2.0,11.0,4.0,2.0,3.0,0.0,1.0,12.0,8.0,14.0,0.0,1.0
324465814,cian.ru,Хорошевский,15.0,4.0,1303.0,210.0,255.0,714.0,2246.0,1380.0,12283.0,6.0,2.0,2.0,13.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,443000.0,90.0,43.0,5927.0,210.0,328.3333333333333,714,2246,1380,12283,14.0,15.0,11.0,33.0,0.0,5.0,8.0,0.0,14.0,3.0,8.0,9.0,0.0,0.0,0.0,2.0,13.0,4.0,5.0,4.0,8.0,0.0,4.0,12.0,19.0,4.0,1.0
322870595,cian.ru,Хорошевский,69.0,3.0,725.0,0.0,117.75,1224.0,5863.0,2245.0,6053.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,443000.0,261.0,11.0,977.0,0.0,311.94117647058823,1224,5863,2245,6053,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,4.0,6.0,1.0,0.0
