ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
323153180,cian.ru,Текстильщики,58,35.0,3063.0,25,114.25,554,2721,2445,3523,0,1,3,7,1,1,4,0,10,2,2,4,0,0,0,3,8,2,1,3,0,0,3,3,3,4,0,288100,214,124.0,12031.0,25,361.90909090909093,554,2721,2445,3523,12,7,9,31,1,3,11,0,24,8,4,7,5,0,0,3,31,5,6,7,0,1,7,8,9,8,2
2108370138117338112,realty.yandex.ru,Соколиная Гора,100,5.0,466.0,42,194.15,224,5218,1024,6389,4,2,3,4,0,7,2,0,5,0,3,0,4,0,0,3,1,1,1,0,0,0,4,1,3,0,0,354400,284,62.0,5027.0,42,303.3142857142857,224,5218,1024,6389,33,5,8,26,0,10,5,0,14,5,4,7,4,0,0,4,9,4,5,2,1,0,10,4,10,2,0
323649427,cian.ru,Люблино,50,15.0,1323.0,0,92.25,256,1399,752,2809,0,0,0,2,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,3,0,3,0,0,274100,140,52.0,7282.0,0,315.46153846153845,256,1399,752,2809,2,4,2,11,0,0,6,0,7,3,3,3,2,1,0,2,9,3,2,2,0,1,3,1,6,1,0
322199248,cian.ru,Даниловский,79,20.0,2025.0,0,171.83333333333334,1034,8028,1213,8830,3,1,0,3,0,0,0,0,7,2,0,1,4,0,0,0,2,1,0,0,0,0,2,1,0,0,0,399100,259,83.0,7314.0,0,407.4230769230769,1034,8028,1213,8830,13,7,6,69,3,4,7,0,13,12,3,9,6,0,1,5,19,6,10,4,0,1,7,15,15,1,1
324525615,cian.ru,Нагорный,86,,,109,204.44444444444446,0,1561,0,1192,0,0,3,4,0,2,0,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,3,3,2,0,0,345200,249,16.0,1842.0,109,403.1025641025641,0,1561,0,1192,8,1,7,17,1,3,3,0,16,3,0,1,3,0,1,4,3,1,3,4,0,1,7,12,11,2,1
322905429,cian.ru,Останкинский,14,4.0,2555.0,4,147.25,2302,7996,733,3171,1,2,4,6,1,1,2,0,4,2,0,0,0,0,0,1,7,1,2,1,0,1,1,2,7,0,0,380300,40,13.0,7046.0,4,147.25,2302,7996,733,3171,3,6,10,26,1,6,5,0,9,9,1,4,0,0,0,1,22,3,5,2,1,1,6,10,18,0,1
324000097,cian.ru,Лианозово,34,5.0,1265.0,0,156.75,10,8923,553,8227,4,2,2,2,0,0,1,0,6,0,0,0,0,0,0,1,2,1,0,0,0,0,4,1,2,0,0,285600,134,27.0,4408.0,0,407.8333333333333,10,8923,553,8227,5,3,7,12,0,1,5,0,23,5,4,4,0,0,1,1,15,2,1,3,0,0,6,5,3,1,0
324908248,cian.ru,Тимирязевский,53,36.0,1901.0,,,362,179,518,391,2,1,2,2,0,1,2,0,2,1,2,1,0,0,0,0,2,0,0,0,0,1,0,2,2,3,0,347300,165,90.0,6056.0,,,362,179,518,391,21,5,6,10,0,2,5,0,17,5,5,4,1,3,0,0,10,2,1,4,0,1,3,5,4,7,0
322442729,cian.ru,Донской,47,5.0,814.0,10,131.9,448,15601,586,18367,7,0,4,3,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,1,0,0,5,9,9,0,0,391900,125,30.0,4232.0,10,294.5,448,15601,586,18367,10,5,7,15,0,6,5,0,3,5,3,0,10,1,0,8,8,2,3,3,0,4,9,17,25,3,0
3941757984976507904,realty.yandex.ru,Текстильщики,48,28.0,3307.0,200,236.0,806,2750,1785,3008,1,1,5,7,0,0,5,0,4,3,1,2,0,0,0,2,8,1,3,2,0,0,1,3,2,5,0,288100,223,132.0,12350.0,200,424.0,806,2750,1785,3008,3,6,7,23,3,3,12,0,23,7,4,11,3,0,1,3,26,4,5,4,0,0,6,6,9,11,1
