address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Кронштадтский бульвар, 7",Цифролайн,5.0,Ремонт телефонов,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7",Why табак,5.0,Магазин табака и курительных принадлежностей;Табачная продукция оптом;Вейп-шоп,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7",Profi Credit,5.0,Микрофинансовая организация,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7",Pinx,5.0,Ногтевая студия;Салон красоты;Косметология,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7",Pedant.ru,5.0,Ремонт телефонов;Компьютерный ремонт и услуги;Товары для мобильных телефонов,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7",Копирка,3.0,Копировальный центр;Печати и штампы;Полиграфические услуги;Типография;Фотоуслуги,55.8407602,37.4871768,success
"Москва, Кронштадтский бульвар, 7, стр. 3",Книт Исм,1.0,Швейное оборудование;Оборудование для лёгкой промышленности;Швейные и вязальные машины,,,not_found
"Москва, Кронштадтский бульвар, 7, стр. 3",Cartrige.ru,3.0,Расходные материалы для оргтехники;Ремонт оргтехники,,,not_found
"Москва, Кронштадтский бульвар, 7А",CDEK,5.0,Курьерские услуги;Грузовые авиаперевозки;Автомобильные грузоперевозки,55.8424991,37.4866584,success
"Москва, Кронштадтский бульвар, 7А",Eva_studioo,5.0,Косметология,55.8424991,37.4866584,success
"Москва, Кронштадтский бульвар, 7А",АВАНТ-эксперт,5.0,"Автоэкспертиза, оценка автомобилей;Оценочная компания;Юридические услуги",55.8424991,37.4866584,success
"Москва, Кронштадтский бульвар, 7А",Техника,5.0,Автошкола,55.8424991,37.4866584,success
"Москва, Кронштадтский бульвар, 7А, стр. 2",Pahomovanogtishop.ru,5.0,Оборудование и материалы для салонов красоты,,,not_found
"Москва, Кронштадтский бульвар, 7А, стр. 2",Купи для Дома,5.0,Корпусная мебель,,,not_found
"Москва, Кронштадтский бульвар, 7А, стр. 2",Юрведо,5.0,Юридические услуги;Адвокаты,,,not_found
"Москва, Кронштадтский бульвар, 9с3",MebHome.ru,5.0,Магазин мебели,55.8408643,37.4913421,success
"Москва, Кропоткинский переулок, 25с2","ФГБУ Нмиц психиатрии и наркологии имени В. П. Сербского, консультативно-диагностическое отделение",5.0,Поликлиника для взрослых;Детская поликлиника,55.7410586,37.5868682,success
"Москва, Кропоткинский переулок, 7с1",Intermark Relocation,5.0,Миграционные услуги;Агентство недвижимости;Переезды,55.73783,37.5931509,success
"Москва, Кропоткинский переулок, 7с2-4",Аченти,5.0,Ресторан;Пиццерия;Банкетный зал,55.7376343,37.5930942,success
"Москва, Кропоткинский переулок, 9-11",Mood Makers,5.0,Ногтевая студия;Салон красоты;Салон бровей и ресниц,55.7382748,37.5922972,success
"Москва, Кропоткинский переулок, 9-11",Xsize,5.0,Салон красоты;Массажный салон;Косметология,55.7382748,37.5922972,success
"Москва, Крутицкая набережная, 1",Интер,1.0,Мебельная фабрика;Шкафы-купе;Корпусная мебель,55.7282678,37.6569079,success
"Москва, Крутицкая набережная, 19",Nova,5.0,Автомойка;Детейлинг;Заправка автокондиционеров,55.7207321,37.6591073,success
"Москва, Крутицкая улица, 13",Крутицкое патриаршее подворье,5.0,Православный храм;Монастырь,55.7283934,37.6589483,success
"Москва, Крутицкая улица, 17, стр. 3",Крутицкое подворье,5.0,Музей,,,not_found
"Москва, Крутицкая улица, 17, стр. 6",Крутицкий казённый приказ,5.0,Достопримечательность,,,not_found
"Москва, Крутицкая улица, 17с1",Крутицкое патриаршее подворье,5.0,Православный храм,55.728109,37.6591094,success
"Москва, Крутицкая улица, 17с3",Музей Ратной Истории г. Москвы,5.0,Музей;Выставочный центр,55.7277153,37.6581911,success
"Москва, Крутицкая улица, 9с1",The Территория,4.5,Продажа и аренда коммерческой недвижимости;Танцплощадка,55.7287926,37.6589046,success
"Москва, Крутицкая улица, 9с1",Школа лезгинки Тагира Исламова,5.0,Школа танцев,55.7287926,37.6589046,success
"Москва, Крылатская улица, 1",Лата Трэк,4.888888888888889,Спортивный комплекс;Теннисный корт,55.7704843,37.3961947,success
"Москва, Крылатская улица, 1, стр. 2",Apple Hill,5.0,Аренда площадок для культурно-массовых мероприятий;Банкетный зал;Место для пикника,,,not_found
"Москва, Крылатская улица, 10",KidsVelo,5.0,"Спортивный комплекс;Спортивный клуб, секция",55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",MySportExpert,5.0,Спортивный комплекс,55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",Trübli-bar,5.0,Кафе;Столовая;Кофейня,55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",Велотрек Крылатское,3.75,Спортивно-развлекательный центр;Стадион,55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",ВолгаЮнион,5.0,"Веломагазин;Спортивный клуб, секция",55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",Жемчужина,4.0,"Спортивный клуб, секция;Теннисный клуб;Сквош-клуб",55.7630699,37.4320989,success
"Москва, Крылатская улица, 10",Лаборатория бега Runlab,5.0,Спортивный магазин;Спортивная одежда и обувь;Спортивное питание,55.7630699,37.4320989,success
