address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Профсоюзная улица, 103А",Академия Бодибилдинга и Фитнеса,5.0,Учебный центр;Курсы и мастер-классы;Фитнес-клуб,55.6355376,37.5262462,success
"Москва, Профсоюзная улица, 104",Стоматолог,5.0,Стоматологическая клиника;Стоматологическая поликлиника,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Профсоюзный,5.0,Гостиница,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Нотариус Васина А. А.,1.0,Нотариусы,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Лакки,1.0,"Зоосалон, зоопарикмахерская;Зоомагазин",55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Клюква Lounge,5.0,Кальян-бар,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Чайхана,5.0,Кафе,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Ист Клиник,5.0,"Медцентр, клиника;Медицинская реабилитация;Диагностический центр",55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Здоров.ру,5.0,Аптека,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Графиня Countess,5.0,Салон красоты;Массажный салон;Ногтевая студия,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Аурум,5.0,Скупка золота и ювелирных изделий;Ломбард,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Obyem-i-Razyem,5.0,Шиномонтаж,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",TOPGUN,5.0,Барбершоп;Салон красоты;Парикмахерская,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Sky Lounge,5.0,Салон красоты;Ногтевая студия;Салон бровей и ресниц,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Skin Beauty,5.0,"Медцентр, клиника;Косметология",55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Nails Up,5.0,Ногтевая студия;Салон красоты;Салон бровей и ресниц,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Gym-Gym,4.0,"Фитнес-клуб;Спортивный, тренажёрный зал",55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Drunken Duck Pub,3.0,"Бар, паб;Ресторан;Спортбар",55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",CMD — Центр Молекулярной Диагностики,5.0,Медицинская лаборатория;Диагностический центр,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",Азбука daily,3.0,Магазин продуктов;Кафе;Магазин алкогольных напитков;Кофе с собой,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104",JustFreid.ru,5.0,Магазин табака и курительных принадлежностей;Кальян-бар;Кофе с собой,55.6418792,37.5233889,success
"Москва, Профсоюзная улица, 104, корп. 1",Сафа Мясо халяль,5.0,"Магазин мяса, колбас;Пекарня;Магазин продуктов",,,not_found
"Москва, Профсоюзная улица, 104/47",Планета здоровья,5.0,Аптека,55.6436594,37.5251135,success
"Москва, Профсоюзная улица, 104Д",Альфа-Банк,2.0,Банк,55.6124451,37.4941568,success
"Москва, Профсоюзная улица, 104к1",Якитория,2.0,Суши-бар;Ресторан;Доставка еды и обедов,55.6418237,37.5242058,success
"Москва, Профсоюзная улица, 104к1",Лдмед,5.0,Ортопедический салон;Изготовление протезно-ортопедических изделий,55.6418237,37.5242058,success
"Москва, Профсоюзная улица, 109",Coffee Way,5.0,Кофейня;Кафе;Кофе с собой,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Шашлычная 77,5.0,Кафе,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Цветы,2.0,Магазин цветов;Доставка цветов и букетов,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",ХозМаг,5.0,Магазин хозтоваров и бытовой химии;Товары для дома;Магазин электротоваров,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Урожайная грядка,1.0,Магазин для садоводов;Магазин семян,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Товары из Японии,5.0,Магазин парфюмерии и косметики;Магазин хозтоваров и бытовой химии,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Серебряный слонъ,5.0,Ювелирный магазин,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Виктория,5.0,Супермаркет;Магазин продуктов,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Браво,5.0,Двери,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Абрикосик,5.0,Массажный салон;Салон красоты;Косметология,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Zotman Pizza,5.0,Пиццерия;Доставка еды и обедов,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",RybalkaShop.ru,5.0,Товары для рыбалки,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Oscars,5.0,Салон красоты;Парикмахерская;Ногтевая студия,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109",Million Colors,4.75,Ногтевая студия;Салон красоты;Салон бровей и ресниц,55.6317248,37.5191612,success
