iter	RMSE
164	137709.9835
165	137665.5677
166	137519.8962
167	137352.1211
168	137169.335
169	137124.7599
170	137068.9304
171	136989.4741
172	136835.3184
173	136785.2172
174	136642.5176
175	136470.4174
176	136402.9737
177	136291.3392
178	136111.4353
179	135998.047
180	135863.4644
181	135709.7522
182	135506.0029
183	135457.1118
184	135321.6922
185	135098.1901
186	134930.8785
187	134799.387
188	134760.4124
189	134673.4074
190	134515.7963
191	134416.5992
192	134334.7427
193	134169.0549
194	134068.7486
195	133905.2645
196	133752.2887
197	133637.7202
198	133559.3084
199	133475.4364
200	133287.5643
201	133151.0467
202	132997.3427
203	132842.6705
204	132735.8361
205	132651.2817
206	132570.5799
207	132413.6107
208	132301.1834
209	132179.3625
210	132049.914
211	131961.1201
212	131837.3407
213	131671.6793
214	131542.296
215	131489.1222
216	131368.6746
217	131261.5115
218	131174.5586
219	131003.2467
220	130932.0605
221	130819.8137
222	130767.8244
223	130720.8818
224	130614.7515
225	130519.7781
226	130431.6187
227	130357.9673
228	130277.1187
229	130150.5476
230	130023.9098
231	129897.9419
232	129838.2628
233	129716.0725
234	129685.9598
235	129548.0745
236	129437.6812
237	129350.3573
238	129265.0067
239	129133.9808
240	129021.8083
241	128924.0491
242	128867.849
243	128783.2971
244	128683.0914
245	128608.5475
246	128510.8772
247	128417.8315
248	128342.6977
249	128281.2752
250	128135.8341
251	128058.2469
252	127941.852
253	127751.3185
254	127666.4131
255	127526.2727
256	127472.1874
257	127334.7153
258	127244.8526
259	127117.0609
260	127046.3407
261	126966.6747
262	126868.2972
263	126806.3208
264	126719.7288
265	126650.1478
266	126499.9183
267	126356.0832
268	126302.1084
269	126239.3409
270	126143.2636
271	126031.8361
272	125952.7667
273	125860.2718
274	125814.3314
275	125736.8702
276	125691.6504
277	125602.3893
278	125527.792
279	125454.6883
280	125384.5835
281	125279.8884
282	125198.1254
283	125081.7735
284	124965.6968
285	124912.2924
286	124830.5554
287	124721.163
288	124628.8701
289	124550.2904
290	124502.5953
291	124458.1722
292	124373.1731
293	124307.4446
294	124212.3439
295	124116.039
296	123985.4983
297	123911.0767
298	123855.7589
299	123806.711
300	123756.7867
301	123633.7893
302	123553.1017
303	123454.1593
304	123372.5913
305	123308.4805
306	123184.85
307	123139.8598
308	123112.498
309	123011.2372
310	122922.924
311	122864.0744
312	122768.5813
313	122716.6235
314	122703.8117
315	122652.6712
316	122589.8266
317	122530.698
318	122375.3914
319	122296.3199
320	122229.7877
321	122201.7457
322	122121.5847
323	122027.3513
324	121946.2134
325	121913.2436
326	121848.1494
327	121778.877
328	121760.1941
329	121702.1622
330	121604.7759
331	121587.9156
332	121580.1143
333	121484.5662
334	121454.3337
335	121384.1136
336	121362.9635
337	121339.1494
338	121326.6883
339	121291.6715
340	121235.5144
341	121167.4066
342	121104.5624
343	121077.9493
344	121038.4395
345	120980.0723
346	120932.5456
347	120819.4678
348	120696.2969
349	120649.2136
350	120600.5572
351	120535.186
352	120449.6059
353	120417.9833
354	120351.1989
355	120300.5539
356	120203.1489
357	120166.3437
358	120073.0942
359	119967.8989
360	119903.4134
361	119866.86
362	119777.3916
363	119713.4935
364	119626.5275
365	119570.1696
366	119523.5874
367	119479.0097
368	119439.8853
369	119370.9012
370	119336.5947
371	119250.8898
372	119184.3825
373	119128.8651
374	119093.9008
375	119060.2225
376	119003.5218
377	118963.4592
378	118894.8601
379	118845.555
380	118767.0331
381	118739.5979
382	118721.1529
383	118662.2681
384	118585.3786
385	118549.9507
386	118451.2157
387	118398.7798
388	118346.4064
389	118283.1651
390	118264.4775
391	118232.3227
392	118207.5647
393	118103.3861
394	118064.5244
395	118053.7458
396	117940.3166
397	117874.8176
398	117774.7187
399	117745.408
400	117695.3105
401	117637.1916
402	117593.1445
403	117497.4628
404	117453.8106
405	117363.0927
406	117316.2453
407	117286.8189
408	117203.4689
409	117151.5011
410	117035.8882
411	117011.3513
412	116958.605
413	116880.6855
414	116825.8359
415	116758.8982
416	116710.8118
417	116697.1031
418	116640.7565
419	116605.4457
420	116553.1143
421	116476.3413
422	116428.8784
423	116404.4193
424	116344.531
425	116291.8372
426	116238.0279
427	116220.4261
428	116123.5193
429	116048.7008
430	116000.8889
431	115928.7861
432	115880.2781
433	115805.6225
434	115744.8318
435	115703.382
436	115672.8934
437	115618.4746
438	115552.8957
439	115503.3975
440	115480.6239
441	115412.4601
442	115362.7323
443	115344.4795
444	115293.7598
445	115256.9206
446	115223.8305
447	115157.7652
448	115087.2934
449	115029.9969
450	114916.1844
451	114884.5299
452	114860.4384
453	114813.4145
454	114776.8437
455	114739.0232
456	114670.7182
457	114600.2648
458	114547.8283
459	114483.1963
460	114420.5599
461	114379.1795
462	114311.9257
463	114254.7577
464	114160.5272
465	114113.682
466	114084.1298
467	114050.8288
468	114012.488
469	113974.4217
470	113952.1636
471	113905.6508
472	113862.4884
473	113817.9109
474	113781.4079
475	113760.0122
476	113713.5273
477	113663.422
478	113619.3762
479	113586.0513
480	113543.6559
481	113496.3368
482	113466.7201
483	113429.2079
484	113373.7146
485	113329.4478
486	113303.036
487	113264.5442
488	113218.4174
489	113184.94
490	113155.6016
491	113113.8477
492	113085.1569
493	113066.2012
494	113043.3705
495	112991.6212
496	112947.531
497	112912.7943
498	112883.4136
499	112787.0722
500	112754.7497
501	112722.2224
502	112684.0924
503	112648.7291
504	112585.437
505	112561.3377
506	112496.0308
507	112472.8233
508	112442.1234
509	112395.4515
510	112349.2956
511	112297.4909
512	112258.2937
513	112210.2069
514	112157.6947
515	112080.2208
516	112063.6692
517	112035.5506
518	112024.9414
519	111971.8453
520	111913.9062
521	111876.3009
522	111837.563
523	111805.8772
524	111775.9578
525	111699.13
526	111632.7029
527	111599.6647
528	111539.0976
529	111471.8264
530	111456.4111
531	111421.8926
532	111377.378
533	111346.8384
534	111280.0908
535	111244.9331
536	111207.8785
537	111160.3591
538	111097.5457
539	111051.5573
540	111012.8722
541	110992.4617
542	110975.6141
543	110917.3815
544	110868.0227
545	110838.492
546	110803.4655
547	110753.7925
548	110740.9772
549	110714.0637
550	110698.9784
551	110687.9895
552	110648.636
553	110634.9812
554	110568.2341
555	110547.8686
556	110513.9719
557	110492.4538
558	110466.8109
559	110448.7262
560	110418.2499
561	110376.0099
562	110343.6497
563	110328.2864
564	110282.23
565	110259.0402
566	110212.6458
567	110197.3679
568	110167.3901
569	110154.1385
570	110120.1644
571	110103.3623
572	110071.9894
573	110025.9365
574	109963.852
575	109919.967
576	109905.5521
577	109889.1456
578	109851.4756
579	109807.4627
580	109785.1468
581	109741.2832
582	109686.2611
583	109671.1171
584	109643.4891
585	109605.7997
586	109578.6631
587	109551.5305
588	109515.5933
589	109468.0018
590	109443.9312
591	109358.5418
592	109334.2819
593	109271.6598
594	109222.031
595	109197.4844
596	109174.6943
597	109133.5349
598	109120.7001
599	109098.5099
600	109078.467
601	109052.9365
602	109018.7646
603	108991.9145
604	108925.6538
605	108886.3837
606	108811.9825
607	108790.3374
608	108761.8842
609	108702.9235
610	108674.7311
611	108654.0703
612	108584.0503
613	108556.5033
614	108536.0662
615	108491.9362
616	108429.1123
617	108389.3731
618	108364.3145
619	108305.2374
620	108288.5814
621	108255.4765
622	108238.1755
623	108221.2343
624	108196.2182
625	108141.7646
626	108100.017
627	108074.595
628	108026.7176
629	107983.2898
630	107959.1888
631	107932.671
632	107915.744
633	107854.2572
634	107806.843
635	107785.0182
636	107770.7789
637	107751.5762
638	107723.4218
639	107710.3625
640	107676.1493
641	107634.9153
642	107599.1181
643	107576.6744
644	107527.5201
645	107519.2074
646	107500.1274
647	107481.3646
648	107447.8902
649	107416.5841
650	107399.3147
651	107342.4259
652	107329.8793
653	107299.2701
654	107271.3268
655	107242.7927
656	107191.8101
657	107151.96
658	107111.2929
659	107053.0528
660	106998.6854
661	106960.339
662	106937.3603
663	106914.9675
664	106855.766
665	106797.2801
666	106782.075
667	106759.1138
668	106723.8215
669	106682.6224
670	106630.4676
671	106592.6305
672	106579.6802
673	106557.8346
674	106532.4043
675	106497.3463
676	106480.0891
677	106464.3893
678	106446.7871
679	106429.184
680	106413.5865
681	106389.5638
682	106376.2572
683	106347.4653
684	106336.435
685	106315.3768
686	106293.6309
687	106268.8506
688	106223.2402
689	106188.0343
690	106173.9226
691	106144.8692
692	106107.6928
693	106090.176
694	106057.0826
695	106001.1276
696	105967.9217
697	105941.3763
698	105918.1688
699	105867.6597
